Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Палій,Віталій,Федорович,male,1994-01-03,Круп'є,село Краматорськ,"сквер Цегляна, буд. 51 кв. 6, Краматорськ, 15334",+380 10 313 21 65,korzhmaryna@example.org
Терещук,Ярема,Артемович,male,1969-10-05,Медик,місто Попасна,"шосе Вапняний 3-й, буд. 5, Сміла, 32646",735 41 78,venedykt92@example.com
Артимишин,Антон,Вікторович,male,1951-04-11,Піаніст,село Голубівка,"набережна Стєклова, буд. 39, Рахів, 06387",+380 65 909-81-22,nlemeshko@example.org
Вітер,Григорій,Вікторович,male,1973-01-21,Державний службовець,місто Рудки,"узвіз Об'їзна дорога, буд. 138, Кагарлик, 04980",+380 52 497 46 03,miakymchuk@example.net
Годунок,Азар,Анатолійович,male,1971-01-11,Науковець,місто Кобеляки,"узвіз Матроська Слобідка, буд. 2, Городенка, 55052",022 966 58 62,kyrylo41@example.com
Онуфрієнко,Омелян,Андрійович,male,1983-03-27,Скульптор,селище Родинське,"провулок 1-ша Лінія 4-ї ст. Люстдорфської дороги, буд. 1 кв. 909, Винники, 16896",+380 (96) 710-57-86,vasylyna81@example.net
Козак,Григорій,Петрович,male,1962-03-08,Зоолог,хутір Білгород-Дністровський,"проспект Композитора Глинки, буд. 149, Хмельницький, 27936",+380 52 322 70 60,snizhanatryhub@example.com
Товстоліс,Ярема,Вячеславович,male,1963-10-26,Юрист,село Ізмаїл,"узвіз Травневий 1-й, буд. 2, Гірське, 76629",+380 37 690 19 36,venedykt16@example.org
Лесик,Герман,Олександрович,male,2002-07-13,Епідеміолог,місто Белз,"провулок Дніпропетровська дорога, буд. 7 кв. 786, Сулимівка (Слов'янськ), 94611",093 820 89 11,cmedvedenko@example.net
Ткач,Валерій,Артемович,male,1956-08-13,Агроном,селище Підгайці,"набережна Водний, буд. 572, Комарно, 49553",363 24 86,fdemianchuk@example.org
Ващенко,Миколай,Вячеславович,male,1971-06-17,Пілот,село Вилкове,"вулиця Посівна, буд. 662 кв. 23, Інкерман, 91799",011 03 75,qandriienko@example.net
Гуцуляк,Орест,Андрійович,male,1949-08-29,М'ясник,хутір Христинівка,"набережна Флотський 3-й, буд. 289 кв. 366, Бібрка, 84112",+380 (45) 673-49-07,iaroslavlukash@example.net
Чуприна,Максим,Васильович,male,1949-02-02,Редактор,місто Белз,"сквер Слави, буд. 54 кв. 67, Хорол , 63434",367-79-90,averchenkodemyd@example.org
Ковалюк,Кирило,Вячеславович,male,1985-05-23,Фрілансер,місто Снятин,"площа Чапаєва 2-й, буд. 05 кв. 3, Буськ, 26990",+380 (73) 142-18-75,hennadiishynkarenko@example.com
Романець,Олесь,Васильович,male,1948-03-04,Піаніст,село Умань,"площа Достоєвського, буд. 26 кв. 10, Українськ, 65841",864-03-90,albinabaranyk@example.com
Негода,Леонтій,Сергійович,male,1970-04-13,Підприємець,село Кременчук,"площа 11-та Суворовська, буд. 17 кв. 1, Покров, 13021",086 48 31,iurchenkoteodor@example.org
Акуленко,Артем,Дамирович,male,1982-02-12,Краєзнавець,хутір Батурин,"сквер Різдвяна, буд. 22 кв. 1, Хмельницький, 21951",007 264 26 20,varvara14@example.net
Луценко,Орхип,Опанасович,male,2008-03-25,Гицель,хутір Жашків,"шосе Рівний, буд. 05 кв. 968, Косів, 89526",082 795-70-61,alla77@example.org
Атрощенко,Климент,Іванович,male,1962-04-17,Адвокат,місто Краматорськ,"площа Житомирський 4-й, буд. 92 кв. 299, Татарбунари, 20435",028 246-53-68,iaroslav27@example.org
Дашенко,Ігнат,Антонович,male,1955-09-23,Географ,хутір Буськ,"парк Лінія 55-та, буд. 6, Гірник , 60301",010 062 20 45,chaikairyna@example.net
Охримович,Леонід,Юрійович,male,1994-01-05,Етнограф,місто Марганець ,"провулок Дігтярна, буд. 0 кв. 282, Конотоп, 93649",014 281-86-22,myron90@example.com
Яремчук,Володимир,Опанасович,male,1987-10-13,Кухар,хутір П'ятихатки,"набережна Гонтаренко, буд. 0, Горлівка, 72647",108-16-36,mishchenkoamvrosii@example.net
Вахній,Іван,Антонович,male,1998-08-19,Адвокат,селище Сквира,"площа Новоселів, буд. 251 кв. 574, Гадяч, 21479",811-93-00,jdakhno@example.com
Бандера,Ігнат,Миколайович,male,1949-04-20,Реставратор,хутір Щастя ,"шосе Дюківський сад, буд. 86, Бориспіль, 28780",366 10 55,riaboshapkaandrii@example.net
Авраменко,Юхим,Андрійович,male,1939-05-26,Мистецтвознавець,село Звенигородка,"проспект Восьмого березня 2-й, буд. 0, Рогатин, 87342",+380 74 963-08-78,xverhun@example.com
Дурдинець,Борислав,Вікторович,male,1940-05-28,Державний службовець,селище Косів,"парк Різдвяна, буд. 40, Прилуки, 48341",+380 47 885-90-88,sheremetastepan@example.org
Калениченко,Борислав,Вячеславович,male,1985-06-15,Палеонтолог,селище Олешки,"провулок Морська, буд. 75, Первомайський , 31032",+380 70 572 28 42,martyn55@example.org
Хорішко,Стефан,Вікторович,male,2002-05-12,Бібліотекар,село Городенка,"парк Мазараті, буд. 4, Чистякове, 85799",116 41 56,vlasiukivan@example.org
Аронець,Гаврило,Семенович,male,1999-12-24,Палеонтолог,селище Підгайці,"парк Бітумна, буд. 73, Перевальськ, 42401",+380 08 761-76-90,oleksa93@example.org
Габелко,Спас,Семенович,male,1945-03-18,Мікробіолог,місто Судак ,"вулиця Іцхака Рабіна, буд. 739, Підгайці, 78128",+380 43 763-03-84,gmasliak@example.org
Бебешко,Мирослав,Васильович,male,1961-01-24,Науковець,місто Вільнянськ,"сквер Аркадіївський, буд. 3, Красилів, 05217",+380 48 292-78-51,rudkoiustyna@example.org
Шевченко,Климент,Антонович,male,1953-11-09,Електромонтер,хутір Енергодар,"проспект Локальна, буд. 9, Брянка, 10131",+380 86 102-48-05,solomiia17@example.net
Онуфрієнко,Олекса,Петрович,male,1998-05-19,Географ,місто Татарбунари,"шосе Мазараті, буд. 7 кв. 3, Жданівка, 90942",+380 (70) 744-99-13,semennehoda@example.org
Удовенко,Юхим,Дмитрович,male,1980-04-15,Маркетолог,хутір Сарни,"парк Канатний, буд. 908 кв. 799, Угнів, 91220",405-76-92,snizhanashcherbak@example.org
Проценко,Леопольд,Петрович,male,1984-12-23,Менеджер,хутір Чернівці,"шосе Благовидової, буд. 796, Хорол , 73961",020 267 60 23,tarankhrystyna@example.org
Верменич,Богодар,Петрович,male,2007-06-17,Хімік,село Сміла,"сквер Учительський, буд. 479, Любомль, 10375",899-44-52,andrii27@example.com
Артюх,Юстим,Остапович,male,2007-03-10,Мистецтвознавець,селище Дніпро ,"проспект Гетьманський, буд. 6, Гірник , 52612",055 718 91 62,hordiinehoda@example.org
Абраменко,Єфрем,Вячеславович,male,1985-12-21,Флорист,місто Бобровиця,"проспект Карантинна, буд. 8 кв. 9, Люботин, 72511",028 162 96 75,vysochanstefan@example.org
Бабич,Орхип,Юрійович,male,1982-10-23,Юрист,хутір Куп'янськ,"шосе Лїнія 1-ша, буд. 1 кв. 2, Ясинувата, 94068",+380 (10) 978-04-68,mlukash@example.net
Бандура,Орест,Миколайович,male,1968-10-08,Петрограф,селище Дружківка,"парк Моторний 2-й, буд. 99, Миргород, 34476",+380 63 431 88 65,nazarneporozhnii@example.com
Дейсун,Валерій,Сергійович,male,1949-01-13,Стиліст,село Перечин,"узвіз Цегельнозаводська, буд. 776 кв. 2, Тростянець, 42466",868 19 07,demyd08@example.org
Тарасенко,Михайло,Дмитрович,male,1969-06-06,Кур'єр,село Олешки,"набережна Радісний, буд. 67, Алчевськ, 86391",+380 (38) 330-06-81,huzhalyna@example.com
Савенко,Прохір,Вячеславович,male,1975-02-19,Дизайнер,місто Южноукраїнськ,"шосе Аеродромний 3-й, буд. 931 кв. 754, Чорноморськ, 91448",338 03 79,pivanychuk@example.org
Вітер,Святослав,Васильович,male,1964-03-18,Живописець,селище Новомосковськ,"парк Нафтовиків, буд. 12, Монастирище, 94497",+380 01 581-41-08,panteleimon72@example.org
Штепа,Давид,Дмитрович,male,1981-06-24,Клавішник,місто Торецьк,"набережна Світанку, буд. 6 кв. 433, Пустомити, 85994",060 508-31-66,varvaradubenko@example.org
Чумаченко,Азар,Іванович,male,1987-04-26,Художник,місто Олешки,"проспект Луцька, буд. 387, Кролевець, 12148",097 329-90-37,pavlopushkar@example.net
Носенко,Віктор,Олександрович,male,2004-02-18,Пекар,село Глухів,"шосе Самарська, буд. 3, Павлоград, 92337",042 132-76-60,veniiamyntiahnybok@example.net
Дурдинець,Леонід,Васильович,male,1959-04-08,Ді-джей,село Кадіївка,"площа Проценка, буд. 16 кв. 379, Алчевськ, 94466",090-53-33,satroshchenko@example.com
Цимбалюк,Данило,Дамирович,male,1940-03-29,Нотаріус,село Енергодар,"провулок Зелена гірка, буд. 82, Гнівань, 01500",+380 03 087 71 34,fedirhodunok@example.org
Михайлюк,Павло,Семенович,male,1939-02-03,Медик,селище Кременець,"парк Аеропортівський 6-й, буд. 83 кв. 83, Южноукраїнськ, 40157",469-25-92,piddubnyivladyslav@example.com
Демиденко,Марко,Вячеславович,male,1993-12-04,Реабілітолог,місто Зимогір'я,"шосе Прорізний, буд. 1, Ірпінь, 29440",280 86 80,jhrechko@example.org
Гречаник,Устим,Андрійович,male,1963-09-08,Єгер,місто Антрацит ,"проспект Лазурний 5-й, буд. 75, Зіньків, 76897",050 905-04-41,derhachanzhela@example.com
Василечко,Прохір,Анатолійович,male,1965-05-11,Бізнесмен,селище Радивилів,"шосе Академічна, буд. 5, Старобільськ, 19192",+380 73 746-35-92,lukianvernyhora@example.org
Титаренко,Алевтин,Миколайович,male,1977-08-02,Фрілансер,село Моспине,"площа Лінійна, буд. 13, Кам'янське, 66864",837 73 05,iakivandriiovych@example.net
Єременко,Данило,Семенович,male,1947-04-05,Секретар,хутір Дубровиця,"сквер Верхня, буд. 4 кв. 711, Мирноград, 12197",056 767 22 16,zynoviibevz@example.com
Жаліло,Арсен,Григорович,male,1999-02-12,Намотувальник,селище Ужгород,"проспект Сурикова 2-й, буд. 9, Охтирка, 25408",020 289 33 36,akovpak@example.org
Макаренко,Єфрем,Юрійович,male,1943-10-04,Парфюмер,село Амвросіївка,"набережна Привозна, буд. 333 кв. 65, Здолбунів, 96624",+380 39 464 36 07,rostyslav08@example.com
Андріїшин,Тимофій,Дмитрович,male,1952-12-11,Бібліограф,хутір Білопілля,"площа Балтська дорога, буд. 8, Калинівка , 37249",+380 35 001 92 41,rlahoda@example.org
Ткач,Опанас,Сергійович,male,1967-04-06,Медик,село Новоазовськ,"проспект Мариністів, буд. 9 кв. 7, Оріхів, 94292",+380 08 644-40-53,stepanieshchenko@example.com
Алексеєнко,Мартин,Федорович,male,1961-02-04,Льотчик,селище Саки ,"узвіз Воронцовський, буд. 741, Подільськ, 73660",679 19 71,zakharlysenko@example.com
Сацюк,Опанас,Дмитрович,male,1979-02-26,Конструктор,місто Чистякове,"набережна Дідріхсона, буд. 67, Джанкой, 80578",869-98-94,milena06@example.org
Тригуб,Ярема,Вячеславович,male,1945-04-13,Секретар,селище Сарни,"парк Воронцовський, буд. 1, Хмельницький, 05290",709-42-81,amaliia72@example.net
Теличенко,Василь,Артемович,male,1961-09-03,Музикант,хутір Таврійськ,"провулок Леха Качинського, буд. 84, Алушта, 18764",+380 62 239-10-84,volodymyr33@example.net
Скорик,Арсен,Федорович,male,1996-03-11,Фізик,село Глиняни,"вулиця Локомотивний 2-й, буд. 512, Глиняни, 14688",092 237-63-18,dbezditko@example.org
Матвієнко,Дан,Анатолійович,male,1961-05-29,Кінорежисер,хутір Щолкіне,"вулиця Деревообробний 4-й, буд. 3, Кременчук, 35247",711-80-88,okhrimiefymenko@example.org
Стець,Артем,Васильович,male,2004-07-07,Льотчик,місто Теплодар,"вулиця Політкаторжан, буд. 396 кв. 362, Снігурівка, 69690",050 793 50 79,fediraverchenko@example.org
Яковенко,Левко,Дамирович,male,1969-10-18,Дерун,село Олександрія,"проспект Сєченова, буд. 02 кв. 32, Нова Одеса, 52504",+380 35 775 54 21,bohodartereshchenko@example.com
Хомик,Єлисей,Семенович,male,1976-04-04,Складальник,місто Бахмут,"шосе Нерубайська, буд. 74 кв. 37, Червоноград, 72217",019 479 29 71,ekarpenko@example.com
Товстуха,Мирон,Юрійович,male,1949-09-14,Геофізик,село Устилуг,"набережна Лесі Українки, буд. 945, Федорівка, 95786",164 21 28,yiermolenko@example.org
Жарко,Онисим,Анатолійович,male,1992-07-22,Електромонтер,місто Карлівка,"сквер Лейтенанта Шмідта, буд. 27, Новодружеськ, 19796",835 97 11,leopoldbalaban@example.com
Гавриленко,Аркадій,Семенович,male,1978-07-24,Реставратор,хутір Хорол ,"сквер Горизонтальна, буд. 5 кв. 5, Ржищів, 08175",020 536 73 93,ttkach@example.net
Затула,Іван,Семенович,male,1950-09-08,Шериф,місто Свалява,"провулок Остапа Вишні, буд. 409 кв. 987, Дніпро , 53178",+380 31 419-73-87,amvrosiikharchenko@example.org
Власюк,Панас,Андрійович,male,1994-07-05,Секретар,село Умань,"набережна Лінійна, буд. 774, Пирятин, 78894",+380 51 241-78-39,viacheslavvyshniak@example.net
Філіпенко,Леопольд,Сергійович,male,1942-09-04,Медик,селище Тростянець,"вулиця Дідріхсона, буд. 141 кв. 85, Білопілля, 50851",+380 56 068 88 16,bartymyshyna@example.net
Цимбал,Данило,Олександрович,male,1940-02-23,Літературознавець,село Новомосковськ,"вулиця Туристська, буд. 5 кв. 1, Носівка, 62481",096 314-92-77,leonidhaidamaka@example.com
Вакуленко,Станіслав,Вікторович,male,1972-04-19,Маркетолог,хутір Кипуче,"вулиця Сміливий, буд. 78 кв. 935, Бучач, 05142",612-81-16,xhavrylyshyn@example.com
Верхола,Ігнат,Сергійович,male,1945-04-22,Режисер,місто Довжанськ,"проспект 14-та Лінія 6-й ст. Люстдорфської дороги, буд. 667, Вилкове, 29311",611 56 75,riermolenko@example.org
Чекалюк,Святослав,Анатолійович,male,1949-03-16,Мистецтвознавець,село Сулимівка (Слов'янськ),"сквер Тупиковий, буд. 22, Святогірськ, 31394",+380 (17) 319-90-49,ishchors@example.com
Дейнеко,Ярослав,Анатолійович,male,1956-07-29,Біолог,село Самбір,"вулиця Трояндова, буд. 665 кв. 2, Новомосковськ, 27812",+380 74 371-06-61,skopenkoandrii@example.org
Колесниченко,Веніямин,Іванович,male,1942-07-04,Науковець,місто Чорнобиль,"площа Волна тупик, буд. 4, Бориспіль, 74215",+380 (64) 820-50-45,flazarenko@example.com
Рак,Аарон,Артемович,male,1983-03-12,Скульптор,місто Новогродівка,"парк Херсонський сквер, буд. 63 кв. 713, Виноградів, 02986",+380 86 165 61 81,rdurdynets@example.org
Медведенко,Зиновій,Вячеславович,male,1972-11-27,Сценарист,селище Севастополь,"проспект Академіка Ясиновського, буд. 037, Балта, 31846",668 78 11,liushchenko@example.com
Верменич,Артем,Вячеславович,male,1967-03-30,Футболіст,селище Голубівка,"шосе Зоопаркова, буд. 756 кв. 440, Дубляни, 70779",+380 61 842-62-28,nestaikooles@example.com
Цюцюра,Йосип,Олександрович,male,1963-11-06,Промисловець,місто Христинівка,"шосе Абрикосовий, буд. 9 кв. 0, Хмільник, 28316",+380 (16) 029-53-60,baklananastasiia@example.com
Макаренко,Іван,Антонович,male,1945-12-19,Ветеринар,селище Лиман ,"набережна Книжковий, буд. 2, Львів, 51242",+380 99 101-46-36,stepanmykhaliuk@example.org
Ґерус,Омелян,Дмитрович,male,1978-03-02,Ботанік,село Арциз,"сквер Каштанова, буд. 6 кв. 26, Благовіщенське, 45568",098 905-50-42,andrii92@example.com
Шухевич,Герман,Антонович,male,1962-08-13,Ріелтор,село Приморськ (Україна),"площа Висока, буд. 8 кв. 2, Рогатин, 64504",490 32 67,iurchukmartyn@example.org
Носенко,Дан,Вячеславович,male,1983-08-12,Інженер,місто Васильків,"проспект Квітковий, буд. 9 кв. 83, Верхньодніпровськ, 82923",004 146 85 53,xtkachenko@example.net
Гузь,Юстим,Вячеславович,male,1994-10-12,Єгер,хутір Жидачів,"проспект Ростовська, буд. 27, Хмельницький, 28506",224 69 06,martabaida@example.org
Артим,Симон,Дамирович,male,1952-02-10,Петрограф,хутір Бобринець,"площа Теплична, буд. 9, Сулимівка (Слов'янськ), 01496",+380 (78) 084-50-56,alevtyndemianenko@example.com
Бабійчук,Павло,Юрійович,male,1980-07-24,Лікар,хутір Ясинувата,"шосе Леваневського тупик, буд. 919 кв. 721, Молодогвардійськ, 52166",+380 01 440 19 94,iosyp99@example.com
Товстоліс,Яків,Миколайович,male,2004-01-16,Стропальник,хутір Сіверськ,"провулок Олександра Блока, буд. 00, Краматорськ, 39491",+380 74 408 14 64,anastasiia23@example.org
Бабійчук,Остап,Семенович,male,1939-02-07,Агроном,хутір Нова Каховка,"площа Ракетна, буд. 99 кв. 1, Козятин, 02223",357-87-84,mkhomenko@example.net
Пустовіт,Олег,Артемович,male,1967-06-17,Етнограф,хутір Заводське,"сквер Ціолковського, буд. 4 кв. 461, Лиман , 18088",+380 01 459-25-73,hryhoriizatula@example.org
Лавренко,Костянтин,Антонович,male,1990-09-05,Няня,хутір Острог,"площа Яхненка Семена, буд. 22 кв. 8, Городенка, 11768",085 381-51-16,stanislav43@example.net
Гаврюшенко,Гаврило,Миколайович,male,1986-09-26,Бібліограф,місто Брянка,"сквер Лазурний 3-й, буд. 339, Гірник , 08422",057 720 26 04,hrechkozlatoslava@example.net
Фастенко,Назар,Анатолійович,male,1946-04-20,Композитор,селище Феодосія,"сквер Інтернаціональний, буд. 771, Березівка, 64230",094 117-52-63,stalan@example.org
Остапчук,Олесь,Федорович,male,1979-09-06,Бізнесмен,селище Кагарлик,"площа Трудових резервів, буд. 91 кв. 82, Миргород, 24031",087 768-56-11,volodymyrhuk@example.net
Шеремет,Левко,Федорович,male,1990-05-31,Геофізик,хутір Вознесенівка,"проспект Туристська, буд. 688 кв. 08, Устилуг, 07316",+380 (61) 088-14-90,aaronruban@example.org
Забара,Роман,Анатолійович,male,1965-06-04,Юрист,місто Дубляни,"площа Соляний 3-й, буд. 9, Євпаторія, 10617",+380 95 250-82-77,ivashchenkoliubov@example.com
Кабалюк,Вадим,Вячеславович,male,1979-11-09,Швачка,хутір Тальне,"сквер Наявний 7-й, буд. 19, Вінниця, 19346",022 178 12 31,heorhii44@example.net
Полтавець,Ярема,Олександрович,male,1970-03-14,Клавішник,селище Підгайці,"площа Тульська, буд. 16 кв. 309, Ічня, 59376",003 685-86-15,lesstelmakh@example.org
Вернидуб,Олекса,Григорович,male,1943-09-26,Адвокат,селище Буча,"сквер Економічний, буд. 19 кв. 10, Коростишів, 35746",066 477-01-47,tetiana86@example.net
Ґжицький,Прохір,Григорович,male,1961-11-10,Журналіст,село Покров,"проспект Хаджибейська дорога, буд. 050 кв. 68, Кальміуське, 83980",637 61 93,xhutsuliak@example.org
Барабаш,Яків,Опанасович,male,1961-10-21,Співак,селище Лозова ,"сквер Павла Кравцова, буд. 5 кв. 320, Південне , 39527",+380 35 924 80 82,derkachalla@example.com
Тихий,Максим,Дмитрович,male,1971-01-09,Пілот,село Любомль,"парк Прокатна, буд. 972 кв. 87, Новий Буг, 73170",572 22 10,alekseienkopanas@example.com
Охримович,Левко,Миколайович,male,1954-07-19,Ріелтор,село Болехів,"парк Державіна, буд. 02 кв. 871, Хрустальний, 07767",331-53-12,dan88@example.net
Міщенко,Леопольд,Юрійович,male,1949-07-01,Електрослюсар,селище Ізюм,"парк Махачкалинська, буд. 36 кв. 37, Бершадь, 04447",009 285-12-71,mykytavasylevych@example.org
Сімашкевич,Петро,Опанасович,male,1946-07-26,Правник,селище Калуш,"сквер Заводська 1-ша, буд. 76 кв. 293, Заводське, 94929",+380 39 169-15-18,ibakumenko@example.com
Байрак,Андрій,Іванович,male,2002-10-24,Ріелтор,село Нова Одеса,"узвіз Композитора Глинки, буд. 62 кв. 24, Чернівці, 04842",+380 19 146-31-59,dmytroieshchenko@example.com
Алексюк,Нестор,Вікторович,male,1976-10-25,Антрополог,село Немирів,"набережна Восьмого березня 8-й, буд. 03 кв. 60, Іловайськ, 52264",034 930-28-44,martynromanchuk@example.org
Єщенко,Марко,Олександрович,male,2005-09-28,Парфюмер,місто Дергачі,"сквер Віцеадмірала Жукова, буд. 4 кв. 724, Борщів, 64396",+380 32 594-02-66,korbutmakar@example.com
Яремків,Климент,Юрійович,male,1988-03-19,Електрослюсар,хутір Новоселиця,"вулиця Квіткова, буд. 74, Гнівань, 93192",673-07-96,adavivcharenko@example.org
Малик,Ярослав,Васильович,male,1956-08-30,Паралегал,місто Чорноморськ,"площа Кільцева, буд. 7, Лубни, 25125",+380 26 132 73 14,nadiiaarkhymovych@example.net
Дубина,Іван,Вячеславович,male,1981-09-14,Музикознавець,селище Корець,"набережна Кладовищенська, буд. 637 кв. 40, Вишгород, 63619",+380 (46) 238-59-03,makarandriienko@example.com
Овчаренко,Роман,Федорович,male,1991-06-03,Літературознавець,місто Андрушівка,"проспект Стєклова, буд. 17 кв. 3, Брянка, 52310",+380 74 498 97 19,arkhymovychbohdanna@example.org
Свистун,Теодор,Васильович,male,1941-08-28,Промисловець,село Пустомити,"узвіз Леха Качинського, буд. 73 кв. 66, Моршин, 51237",+380 37 615-28-13,telizhenkopriska@example.com
Прокопович,Василь,Сергійович,male,2004-12-29,Електрик,село Сіверськ,"площа Китобійний 2-й, буд. 108 кв. 931, Славутич, 33423",001 135 65 24,xmishchenko@example.com
Ейбоженко,Франц,Олександрович,male,1965-10-19,Стиліст,село Інкерман,"площа Лінія 46-та, буд. 044, Конотоп, 92885",+380 48 046-62-61,ieva27@example.org
Карпа,Орест,Андрійович,male,1960-08-16,Мірошник,село Татарбунари,"сквер Лінія 41-ша, буд. 11, Олевськ, 21746",782-34-95,zorianlukash@example.org
Зінчук,Варфоломій,Юрійович,male,1998-06-08,Публіцист,селище Покровськ,"провулок Геологічна, буд. 311, Дунаївці, 63917",970 70 10,rcherinko@example.com
Бабак,Пармен,Миколайович,male,2002-03-10,Реставратор,село Попасна,"парк Український 2-й, буд. 0 кв. 67, Гребінка, 41666",+380 66 518-12-76,qhupalo@example.org
Перебийніс,Сергій,Миколайович,male,1992-01-11,Ді-джей,місто Долина ,"вулиця 10-та Лінія 6-й ст. Люстдорфської дороги, буд. 57, Трускавець, 03962",086 817-60-76,dereviankolukian@example.net
Дараган,Альберт,Петрович,male,2002-10-23,Палеонтолог,село Рубіжне,"шосе Псковська, буд. 7 кв. 19, Путивль, 08458",+380 (22) 614-80-68,xiarosh@example.com
Забашта,Давид,Олександрович,male,2003-01-17,Музикант,селище Приморськ (Україна),"проспект Леваневського тупик, буд. 87, Кипуче, 26687",+380 16 726-71-92,lesdanylchuk@example.com
Сиротенко,Адам,Юрійович,male,1956-12-04,Прокурор,селище Трускавець,"проспект Історія Футболу, буд. 29 кв. 1, Попасна, 09755",+380 73 597-23-88,teodor86@example.org
Ажажа,Пилип,Сергійович,male,1951-10-21,Літературознавець,хутір Новодружеськ,"узвіз Овідіопольська, буд. 84 кв. 475, Кипуче, 06830",122-23-08,liemets@example.com
Дуплій,Єлисей,Васильович,male,2002-08-03,Інженер,хутір Гребінка,"площа Васнецова, буд. 70 кв. 14, Дружба , 78913",038 821-52-22,gdemianiuk@example.com
Міщенко,Теодор,Петрович,male,1954-05-26,Перекладач,хутір Ізяслав,"площа Дальній, буд. 83 кв. 019, Переяслав, 74169",+380 87 524-28-37,leslukash@example.org
Дзиндра,Леонід,Іванович,male,1939-03-05,Секретар,село Ананьїв,"набережна Метрополітенівський, буд. 98, Бориспіль, 46106",+380 (42) 003-31-06,wmazepa@example.com
Журавель,Вадим,Петрович,male,1939-02-18,Кур'єр,селище Рубіжне,"узвіз Ольгіївський узвіз, буд. 561, Авдіївка, 87503",+380 (88) 841-33-65,haidalukian@example.com
Гайворонська,Богодар,Григорович,male,2000-02-14,Соціолог,селище Корсунь-Шевченківський,"вулиця Бісквітний, буд. 3 кв. 49, Самбір, 26028",253-24-31,hupaloievhen@example.org
Іщенко,Юхим,Остапович,male,1994-01-27,Візажист,селище Сміла,"шосе Пересипська 10-та, буд. 274 кв. 870, Нове Давидково, 23459",072 692-01-58,kamillaiaremchuk@example.com
Охримович,Владислав,Петрович,male,2002-07-23,Клавішник,селище Українка ,"сквер Текстильників, буд. 34 кв. 279, Хмельницький, 98636",023 100 68 13,mariiakhudiak@example.com
Демʼянчук,Панас,Анатолійович,male,1957-02-13,Продюсер,хутір Роздільна,"шосе Першотравневий 2-й, буд. 451, Нова Каховка, 35090",+380 52 291 77 32,dannaiemets@example.net
Засядько,Давид,Вікторович,male,2006-05-02,Круп'є,селище Маріуполь,"парк Академіка Вільямса, буд. 397, Комарно, 36294",869 92 41,habelkospas@example.org
Євтушок,Кирило,Вікторович,male,2001-05-13,Дантист,хутір Лебедин,"парк Кредитний, буд. 414 кв. 274, Перевальськ, 29308",001 830 31 46,huziizorian@example.org
Барабаш,Пантелеймон,Григорович,male,1985-12-25,Мовознавець,селище Старобільськ,"шосе Вапняний 3-й, буд. 97 кв. 13, Добромиль, 67287",+380 67 744-44-24,dzhunstefan@example.org
Ґереґа,Мартин,Дмитрович,male,1986-03-22,Бібліограф,хутір Вінниця,"шосе Ватманський, буд. 107, Святогірськ, 01545",594 79 93,sofiiatereshchenko@example.com
Архимович,Пармен,Григорович,male,1985-06-19,Слідчий,місто Золоте,"набережна Бузкова, буд. 4, Первомайський , 91550",+380 51 961 15 69,solomonderevianko@example.com
Александренко,Франц,Вячеславович,male,1994-01-06,Пекар,хутір Гола Пристань,"парк Свободи, буд. 623, Скадовськ, 83855",790 08 36,viacheslavieresko@example.org
Назаренко,Мирон,Юрійович,male,2002-10-14,Медик,місто Жовті Води,"вулиця Шишкіна, буд. 95, Борислав, 30110",885-14-80,spasviter@example.net
Рудик,Владислав,Анатолійович,male,1941-01-29,Педагог,хутір Рогатин,"вулиця Шостої 2-й, буд. 45 кв. 19, Лиман , 46559",+380 (97) 467-91-76,bashpolchenkosolomiia@example.org
Шаповал,Болеслав,Дмитрович,male,1998-03-30,Письменник,селище Конотоп,"парк Василя Кандинського 5-й, буд. 69 кв. 35, Авдіївка, 28123",046 305 71 32,oles95@example.com
Авраменко,Адам,Петрович,male,1996-12-01,Медик,селище Сторожинець,"узвіз 8-ма Лінія Дачі Ковалевського, буд. 80 кв. 45, Кагарлик, 64200",+380 03 509-92-71,hennadii74@example.org
Євдокименко,Вадим,Олександрович,male,1989-10-05,Гірничий інженер,село Ківерці,"сквер Олександра Невського 3-й, буд. 669, Дубляни, 69020",073 960 58 60,bsachenko@example.net
Корбут,Валерій,Григорович,male,1981-03-10,Головний меркшейдер,місто Малин,"узвіз Товарний, буд. 923 кв. 511, Карлівка, 80270",636-49-67,ostap12@example.com
Дзюба,Єфрем,Сергійович,male,2003-08-13,Біолог,селище Кілія,"проспект Лінія 48-ма, буд. 342, Радивилів, 66694",993 08 24,babkoalevtyn@example.com
Іващенко,Тарас,Опанасович,male,1992-03-23,Машиніст,селище Молодогвардійськ,"площа Махачкалинська, буд. 130 кв. 8, Перещепине, 81050",044 376-11-89,nataliia17@example.net
Шведченко,Мирон,Дмитрович,male,1968-07-31,Доцент,хутір Ладижин,"провулок Маразліївська, буд. 13, Ладижин, 96871",+380 19 726-93-12,viktoriiahaidai@example.com
Карпа,Тимофій,Остапович,male,1981-06-11,Етнограф,селище Кіцмань,"узвіз Касима Юрія, буд. 6 кв. 420, Лозова , 71405",+380 35 591-95-93,hordii94@example.net
Артим,Пилип,Остапович,male,1959-06-10,Філолог,село Путивль,"проспект Житомирський 3-й, буд. 930, Самбір, 35922",+380 57 653 68 16,szhadan@example.org
